assembly1,ec2-13-56-18-122.us-west-1.compute.amazonaws.com
assembly2,ec2-52-53-243-171.us-west-1.compute.amazonaws.com
assembly3,ec2-54-193-81-223.us-west-1.compute.amazonaws.com
assembly4,ec2-52-53-229-54.us-west-1.compute.amazonaws.com
assembly5,ec2-54-193-92-13.us-west-1.compute.amazonaws.com
assembly6,ec2-54-241-130-188.us-west-1.compute.amazonaws.com
assembly7,ec2-54-215-133-121.us-west-1.compute.amazonaws.com
assembly8,ec2-52-53-205-136.us-west-1.compute.amazonaws.com
assembly9,ec2-54-183-181-96.us-west-1.compute.amazonaws.com
assembly10,ec2-54-183-189-2.us-west-1.compute.amazonaws.com
assembly11,ec2-54-193-82-141.us-west-1.compute.amazonaws.com
assembly12,ec2-54-183-241-61.us-west-1.compute.amazonaws.com
assembly13, ec2-54-183-241-61.us-west-1.compute.amazonaws.com
assembly14,ec2-54-67-46-193.us-west-1.compute.amazonaws.com
assembly15,ec2-54-183-138-225.us-west-1.compute.amazonaws.com
assembly16,ec2-13-56-20-201.us-west-1.compute.amazonaws.com
assembly17,ec2-54-193-105-58.us-west-1.compute.amazonaws.com
assembly18,ec2-54-215-246-81.us-west-1.compute.amazonaws.com
assembly19,54.193.95.126
assembly20,13.56.14.108
assembly21,54.67.30.13
assembly22,13.56.16.89
assembly23,54.67.62.225
assembly24,52.53.228.36
assembly25,54.215.206.121
assembly26,54.219.182.252
assembly27,54.215.219.200
assembly28,54.183.111.25
assembly29,54.183.191.2
assembly30,54.193.109.182
assembly31,54.153.107.1
